Municipality	Yes	No	Total
Maphumulo 	1,913.2	18,059.3	19,972.6
Vulamehlo 	1,586.0	14,548.7	16,134.8
Umdoni 	7,040.7	15,826.2	22,866.9
uMshwathi 	4,308.5	23,813.9	28,122.4
uMngeni 	11,353.9	19,135.3	30,489.2
Mpofana 	2,167.0	8,285.2	10,452.2
Impendle 	1,151.9	7,051.3	8,203.2
The Msunduzi 	54,324.3	109,660.8	163,985.1
Mkhambathini 	2,246.5	12,717.4	14,963.9
Richmond 	2,458.2	13,981.5	16,439.8
Indaka 	2,510.4	17,524.3	20,034.6
Umtshezi 	4,873.8	14,378.4	19,252.2
Okhahlamba 	4,532.6	23,042.0	27,574.5
Imbabazane 	3,087.6	19,277.2	22,364.8
Endumeni 	5,190.1	11,659.6	16,849.7
Nqutu 	4,053.1	27,557.4	31,610.5
Msinga 	3,722.8	34,000.9	37,723.7
Umvoti 	3,980.9	23,300.7	27,281.6
eDumbe 	2,556.4	13,581.4	16,137.8
Uphongolo 	4,408.8	24,363.0	28,771.8
Nongoma 	4,460.8	29,880.4	34,341.2
Ulundi 	5,713.2	29,484.4	35,197.6
Umhlabuyalingana 	4,177.5	29,676.2	33,853.7
Jozini 	5,267.6	33,581.0	38,848.6
The Big 5 False Bay 	1,147.0	6,851.2	7,998.2
Hlabisa 	1,239.7	11,346.5	12,586.2
Mtubatuba 	6,619.1	28,285.7	34,904.8
Mfolozi 	3,476.1	22,105.8	25,581.9
Ntambanana 	1,300.3	11,524.7	12,825.0
uMlalazi 	6,778.1	38,283.7	45,061.8
Mthonjaneni 	1,170.2	9,262.5	10,432.7
Mandeni 	5,186.0	33,049.1	38,235.1
KwaDukuza 	15,980.3	54,303.5	70,283.8
Ndwedwe 	2,844.6	26,353.8	29,198.5
Ingwe 	2,307.2	20,764.1	23,071.2
Kwa Sani 	912.4	2,760.7	3,673.1
Greater Kokstad 	4,387.9	14,751.9	19,139.8
Ubuhlebezwe 	3,118.5	20,368.2	23,486.8
Umzimkhulu 	4,547.2	38,360.2	42,907.4
eThekwini 	312,159.4	644,496.9	956,656.3
Moretele 	8,347.3	43,715.9	52,063.2
Madibeng 	34,490.9	126,231.7	160,722.6
Rustenburg 	50,176.4	148,858.3	199,034.7
Kgetlengrivier 	3,781.3	10,891.2	14,672.5
Moses Kotane 	12,599.0	62,594.2	75,193.2
Ratlou 	3,358.9	23,529.8	26,888.6
Tswaing 	6,187.3	24,446.8	30,634.1
Mafikeng 	20,318.2	63,920.3	84,238.5
Ditsobotla 	10,274.9	34,225.0	44,499.9
