incident_key,boro,occur_date,murder,longitude,latitude
191709964,BROOKLYN,2019-01-01,TRUE,-73.86615527499998,40.66567568700003
191739125,BROOKLYN,2019-01-01,FALSE,-73.97512662299994,40.69514176600006
191739126,BRONX,2019-01-01,FALSE,-73.89581102799997,40.85633016000003
191790873,BROOKLYN,2019-01-02,FALSE,-73.94445277099999,40.69817495500007
191851037,BRONX,2019-01-03,FALSE,-73.85456914199995,40.87121719400005
191851038,STATEN ISLAND,2019-01-03,FALSE,-74.16281469099994,40.624715399000024
191853461,BROOKLYN,2019-01-04,FALSE,-73.99287843099995,40.573762860000045
191949899,BROOKLYN,2019-01-04,FALSE,-73.94098570199998,40.59836429600006
191949900,BRONX,2019-01-06,FALSE,-73.89286816199996,40.82173680500006
191949902,BRONX,2019-01-05,FALSE,-73.85087315799996,40.83121933700005
191951586,BROOKLYN,2019-01-06,FALSE,-73.99197121999998,40.57462754300008
191951587,QUEENS,2019-01-05,FALSE,-73.93357513699993,40.759450695000055
191951588,BRONX,2019-01-06,TRUE,-73.86620145399996,40.82145677500006
191951588,BRONX,2019-01-06,TRUE,-73.86620145399996,40.82145677500006
191951589,STATEN ISLAND,2019-01-05,FALSE,-74.11865177499999,40.63681841100003
191995443,BRONX,2019-01-07,TRUE,-73.87989223599999,40.84118336900008
191997175,BRONX,2019-01-08,FALSE,-73.90657156199995,40.829460906000065
191997175,BRONX,2019-01-08,FALSE,-73.90657156199995,40.829460906000065
192049864,BROOKLYN,2019-01-08,FALSE,-73.92011671699998,40.66838451700005
192059857,BRONX,2019-01-09,TRUE,-73.85329478899996,40.880551707000045
192159800,BROOKLYN,2019-01-11,FALSE,-73.89691993599997,40.651195186000045
192258906,BROOKLYN,2019-01-13,TRUE,-73.92665700899994,40.67561600000005
192258907,BROOKLYN,2019-01-13,FALSE,-73.94958420199998,40.67964380700005
192258908,QUEENS,2019-01-13,TRUE,-73.75876169699995,40.697443114000066
192258908,QUEENS,2019-01-13,FALSE,-73.75876169699995,40.697443114000066
192259533,BROOKLYN,2019-01-13,FALSE,-73.95737452599997,40.64535110500003
192259534,BRONX,2019-01-11,FALSE,-73.90925771099995,40.84652996900007
192259535,QUEENS,2019-01-12,FALSE,-73.80317413099993,40.759410124000055
192259536,MANHATTAN,2019-01-13,FALSE,-73.94134727099998,40.81344644500006
192259537,BROOKLYN,2019-01-12,FALSE,-73.93856391999998,40.67849731100006
192301916,BROOKLYN,2019-01-14,FALSE,-73.87964161799994,40.66769830800007
192301916,BROOKLYN,2019-01-14,FALSE,-73.87964161799994,40.66769830800007
192301917,BROOKLYN,2019-01-14,FALSE,-73.88624437899995,40.67136244500006
192301917,BROOKLYN,2019-01-14,FALSE,-73.88624437899995,40.67136244500006
192440376,BROOKLYN,2019-01-17,TRUE,-73.95861495499997,40.689048942000056
192455949,BRONX,2019-01-17,FALSE,-73.89966526999996,40.85330363700007
192545414,BROOKLYN,2019-01-19,TRUE,-73.93979089899995,40.718871223000065
192545746,BRONX,2019-01-18,FALSE,-73.91810495899995,40.81286686600003
192545747,MANHATTAN,2019-01-19,FALSE,-73.94741200599998,40.796484993000036
192545748,MANHATTAN,2019-01-19,TRUE,-73.94309430099997,40.82123773800003
192545749,QUEENS,2019-01-19,TRUE,-73.83449918799994,40.77110200100003
192545749,QUEENS,2019-01-19,FALSE,-73.83449918799994,40.77110200100003
192545750,BRONX,2019-01-19,FALSE,-73.87811778599996,40.82609899800008
192545751,BRONX,2019-01-20,FALSE,-73.89332982299999,40.82041067500006
192582052,BRONX,2019-01-21,FALSE,-73.85848844499998,40.87129342900005
192699974,BRONX,2019-01-24,FALSE,-73.86387135299998,40.87881762600006
192834299,QUEENS,2019-01-25,FALSE,-73.82302019699995,40.66997805800003
192834300,BROOKLYN,2019-01-26,TRUE,-73.91464546899994,40.68751442000007
192834301,BROOKLYN,2019-01-25,FALSE,-73.93801152399999,40.70164684200006
192834302,QUEENS,2019-01-27,FALSE,-73.77985380599995,40.68329625600006
192834302,QUEENS,2019-01-27,FALSE,-73.77985380599995,40.68329625600006
192834303,BROOKLYN,2019-01-26,FALSE,-73.91350205499998,40.67113000200004
192876037,MANHATTAN,2019-01-28,FALSE,-73.91810825999994,40.86560099800005
192876454,BRONX,2019-01-28,FALSE,-73.85801741099993,40.820953925000026
192876454,BRONX,2019-01-28,FALSE,-73.85801741099993,40.820953925000026
192974875,MANHATTAN,2019-01-30,FALSE,-73.92954569999995,40.86409703500004
192974876,MANHATTAN,2019-01-30,FALSE,-73.92914864499994,40.85310893600007
192978312,MANHATTAN,2019-01-31,TRUE,-73.94294826399994,40.834069554000045
192978312,MANHATTAN,2019-01-31,FALSE,-73.94294826399994,40.834069554000045
192978312,MANHATTAN,2019-01-31,TRUE,-73.94294826399994,40.834069554000045
192978312,MANHATTAN,2019-01-31,FALSE,-73.94294826399994,40.834069554000045
193026088,QUEENS,2019-01-31,FALSE,-73.75498197399997,40.65986481400006
193118589,BROOKLYN,2019-02-03,TRUE,-73.93023648299999,40.640911749000054
193118591,QUEENS,2019-02-03,TRUE,-73.87648084299997,40.748424502000034
193118591,QUEENS,2019-02-03,TRUE,-73.87648084299997,40.748424502000034
193118592,MANHATTAN,2019-02-01,FALSE,-73.94374411699994,40.79862337700007
193118593,QUEENS,2019-02-02,FALSE,-73.79637559399998,40.68957405300006
193118593,QUEENS,2019-02-02,FALSE,-73.79637559399998,40.68957405300006
193118595,QUEENS,2019-01-07,FALSE,-73.81733283899996,40.72758307300006
