fecha_hecho;longitud;latitud;sexo;edad;modalidad
2019-04-01T18:45:00Z;-75,59177260000;6,25325042100;Hombre;78;Contundente
2019-04-12T22:20:00Z;-75,59740510000;6,24159301000;Hombre;62;Ahorcamiento o estrangulamiento
2018-08-05T04:00:00Z;-75,59693840000;6,22579649900;Hombre;42;Contundente
2019-05-09T02:20:00Z;-75,63547844000;6,22086929000;Hombre;20;Arma de fuego
2019-05-09T16:50:00Z;-75,58675650000;6,28638010000;Hombre;26;Arma de fuego
2019-05-10T08:30:00Z;-75,57125432000;6,28490801000;Hombre;32;Arma de fuego
2019-05-10T23:20:00Z;-75,57790150000;6,27703744000;Hombre;38;Arma de fuego
2019-05-11T00:05:00Z;-75,58292570000;6,25721052000;Hombre;52;Arma de fuego
2019-05-10T12:00:00Z;-75,60452930000;6,30210577000;Hombre;26;Arma de fuego
2019-05-11T08:30:00Z;-75,57162920000;6,30274060000;Hombre;21;Arma de fuego
2019-05-11T17:25:00Z;-75,60983996000;6,26295814100;Hombre;34;Arma de fuego
2019-05-11T17:25:00Z;-75,60983728000;6,26296347300;Hombre;21;Arma de fuego
2019-05-11T20:35:00Z;-75,56176720000;6,25388276000;Hombre;27;Arma de fuego
2019-05-29T19:00:00Z;-75,56819090000;6,22177082000;Mujer;36;Cortopunzante
2012-09-14T03:53:00Z;-75,55761200000;6,26952000000;Hombre;22;Arma de fuego
2010-04-14T18:00:00Z;-75,53352100000;6,23531600000;Hombre;33;Arma de fuego
2014-06-29T03:30:00Z;-75,62558400000;6,24891300000;Mujer;38;Cortopunzante
2012-05-13T10:00:00Z;-75,58613100000;6,20899800000;Hombre;20;Arma de fuego
2012-09-08T19:16:00Z;-75,63391000000;6,29136000000;Hombre;30;Cortopunzante
2012-02-21T01:30:00Z;-75,56177800000;6,28999000000;Hombre;14;Arma de fuego
2012-08-31T19:21:00Z;-75,65581500000;6,18757800000;Hombre;17;Arma de fuego
2013-01-24T05:20:00Z;-75,55464000000;6,30732700000;Hombre;19;Arma de fuego
2012-01-23T02:20:00Z;-75,54132400000;6,30042400000;Hombre;21;Arma de fuego
2012-11-05T22:51:00Z;-75,54542800000;6,30243800000;Hombre;19;Cortopunzante
2012-10-04T00:30:00Z;-75,62401300000;6,26146400000;Hombre;18;Arma de fuego
2012-12-12T09:40:00Z;-75,57227200000;6,25345500000;Hombre;51;Cortopunzante
2012-01-23T15:29:00Z;-75,64904500000;6,18494200000;Hombre;23;Arma de fuego
2012-04-25T02:31:00Z;-75,60544700000;6,25710200000;Hombre;35;Arma de fuego
2010-03-19T14:00:00Z;-75,56627400000;6,24815600000;Hombre;28;Arma de fuego
2013-02-06T16:30:00Z;-75,50150400000;6,23759600000;Hombre;57;Cortopunzante
2012-11-10T09:52:00Z;-75,58422400000;6,22367500000;Hombre;28;Arma de fuego
2013-01-23T05:38:00Z;-75,62159500000;6,25657300000;Hombre;21;Arma de fuego
2013-02-10T04:38:00Z;-75,61421900000;6,25692500000;Hombre;23;Arma de fuego
2012-11-14T10:45:00Z;-75,57102700000;6,27363200000;Hombre;35;Cortopunzante
2013-01-01T03:00:00Z;-75,58432500000;6,20530400000;Hombre;31;Arma de fuego
2010-04-26T08:00:00Z;-75,61332800000;6,26521000000;Hombre;17;Arma de fuego
2010-12-01T06:00:00Z;-75,55849500000;6,27878100000;Hombre;24;Arma de fuego
2010-06-11T02:00:00Z;-75,60726100000;6,26083000000;Hombre;31;Arma de fuego
2013-06-06T10:15:00Z;-75,53228200000;6,23165300000;Hombre;19;Arma de fuego
2010-06-26T13:00:00Z;-75,54898400000;6,29985800000;Hombre;38;Cortopunzante
2010-08-18T11:00:00Z;-75,59234400000;6,29414400000;Hombre;18;Arma de fuego
2010-09-02T06:00:00Z;-75,54373100000;6,24085200000;Hombre;28;Arma de fuego
2012-10-14T06:36:00Z;-75,55608600000;6,28337000000;Hombre;29;Arma de fuego
2011-05-04T07:00:00Z;-75,56936100000;6,25321800000;Hombre;20;Arma de fuego
2015-07-14T00:30:00Z;-75,57869700000;6,30791000000;Hombre;31;Arma de fuego
2015-09-01T11:20:00Z;-75,54183800000;6,26920700000;Hombre;37;Arma de fuego
2015-08-19T22:00:00Z;-75,53644000000;6,28622200000;Hombre;20;Contundente
2015-06-08T03:05:00Z;-75,58062600000;6,30763400000;Hombre;43;Cortopunzante
2014-03-13T20:52:00Z;-75,60389400000;6,22637400000;Hombre;36;Arma de fuego
2014-03-14T18:00:00Z;-75,55197400000;6,26257200000;Hombre;62;Arma de fuego
2013-05-02T21:47:00Z;-75,63291100000;6,27193300000;Hombre;32;Arma de fuego
