incident_key,occur_date,murder,longitude,latitude
191739126,2019-01-01,FALSE,-73.89581102799997,40.85633016000003
191851037,2019-01-03,FALSE,-73.85456914199995,40.87121719400005
191949900,2019-01-06,FALSE,-73.89286816199996,40.82173680500006
191949902,2019-01-05,FALSE,-73.85087315799996,40.83121933700005
191951588,2019-01-06,TRUE,-73.86620145399996,40.82145677500006
191951588,2019-01-06,TRUE,-73.86620145399996,40.82145677500006
191995443,2019-01-07,TRUE,-73.87989223599999,40.84118336900008
191997175,2019-01-08,FALSE,-73.90657156199995,40.829460906000065
191997175,2019-01-08,FALSE,-73.90657156199995,40.829460906000065
192059857,2019-01-09,TRUE,-73.85329478899996,40.880551707000045
192259534,2019-01-11,FALSE,-73.90925771099995,40.84652996900007
192455949,2019-01-17,FALSE,-73.89966526999996,40.85330363700007
192545746,2019-01-18,FALSE,-73.91810495899995,40.81286686600003
192545750,2019-01-19,FALSE,-73.87811778599996,40.82609899800008
192545751,2019-01-20,FALSE,-73.89332982299999,40.82041067500006
192582052,2019-01-21,FALSE,-73.85848844499998,40.87129342900005
192699974,2019-01-24,FALSE,-73.86387135299998,40.87881762600006
192876454,2019-01-28,FALSE,-73.85801741099993,40.820953925000026
192876454,2019-01-28,FALSE,-73.85801741099993,40.820953925000026
193417904,2019-02-08,TRUE,-73.90624419799997,40.81816612400007
193417904,2019-02-08,TRUE,-73.90624419799997,40.81816612400007
193418291,2019-02-10,FALSE,-73.90443884799998,40.82857922000005
193418293,2019-02-09,FALSE,-73.86599898699995,40.862680692000026
193509769,2019-02-12,FALSE,-73.90032638899999,40.822803555000064
193694861,2019-02-16,FALSE,-73.88867234499997,40.87150490000005
193732895,2019-02-18,FALSE,-73.83866713999998,40.89103933800004
193733167,2019-02-18,FALSE,-73.91436847999995,40.821427767000046
193939353,2019-02-22,FALSE,-73.90342420099995,40.848308349000035
193939359,2019-02-24,FALSE,-73.91182094199996,40.83021194600008
193939360,2019-02-23,FALSE,-73.84778592599997,40.817941448000056
194232503,2019-03-04,FALSE,-73.82296258799994,40.86619851900008
194324354,2019-03-05,FALSE,-73.91383171099993,40.84009473200006
194525844,2019-03-09,FALSE,-73.89693078099998,40.81563517500006
194527595,2019-03-09,FALSE,-73.90443884799998,40.82857922000005
194817576,2019-03-17,FALSE,-73.84996949799995,40.883221149000065
195013384,2019-03-21,TRUE,-73.91770925599997,40.834516921000045
195013387,2019-03-21,FALSE,-73.92364523699996,40.81428776000007
195013387,2019-03-21,FALSE,-73.92364523699996,40.81428776000007
195102366,2019-03-22,FALSE,-73.90240604099995,40.827367741000046
195102367,2019-03-23,FALSE,-73.84687148699999,40.88680362000008
195102368,2019-03-22,FALSE,-73.89368404899993,40.84264697100008
195102368,2019-03-22,FALSE,-73.89368404899993,40.84264697100008
195145308,2019-03-25,FALSE,-73.91110256099995,40.808044688000045
195397264,2019-03-31,FALSE,-73.92771100999994,40.81141039400006
195440618,2019-04-01,FALSE,-73.90452671999998,40.82305602100007
195553175,2019-04-03,TRUE,-73.90285730799997,40.82996453700008
195553175,2019-04-03,FALSE,-73.90285730799997,40.82996453700008
195699912,2019-04-06,FALSE,-73.92133955199995,40.82051771300007
195699913,2019-04-07,FALSE,-73.84353705199999,40.88476018600005
195854214,2019-04-10,FALSE,-73.88880966199997,40.85412014100007
196000890,2019-04-14,FALSE,-73.90679704999997,40.859381159000066
196000892,2019-04-14,FALSE,-73.90427939199998,40.85967299600003
196276907,2019-04-20,FALSE,-73.90665021099994,40.81718658800003
196315233,2019-04-22,FALSE,-73.90352217399999,40.82670544500007
196364280,2019-04-23,FALSE,-73.90370510699995,40.83700003600006
196364281,2019-04-23,FALSE,-73.83315773299995,40.882695278000035
196414298,2019-04-24,FALSE,-73.91030493199997,40.83886142700004
196525187,2019-04-27,TRUE,-73.89265007699998,40.84508108500006
196582020,2019-04-29,FALSE,-73.92319851599996,40.84079511700003
196680983,2019-05-02,FALSE,-73.90529686099995,40.858851412000035
196730309,2019-05-02,TRUE,-73.89037142599996,40.83112889800003
196820305,2019-05-04,FALSE,-73.88273420199994,40.853658463000045
197106407,2019-05-11,TRUE,-73.85373896099996,40.88484325400003
197254458,2019-05-15,FALSE,-73.90472771799995,40.85537769300004
197254458,2019-05-15,FALSE,-73.90472771799995,40.85537769300004
197254458,2019-05-15,FALSE,-73.90472771799995,40.85537769300004
197254458,2019-05-15,FALSE,-73.90472771799995,40.85537769300004
197293452,2019-05-16,FALSE,-73.86778453599999,40.88708970100003
197293452,2019-05-16,FALSE,-73.86778453599999,40.88708970100003
197381375,2019-05-17,FALSE,-73.91372714799996,40.83711874300008
197381384,2019-05-18,FALSE,-73.90303019599997,40.84940928900005
197423972,2019-05-20,FALSE,-73.82595788299993,40.87807471600007
197525242,2019-05-22,FALSE,-73.89950057199997,40.838500896000035
197534775,2019-05-23,FALSE,-73.88932621799995,40.83763656000008
197534776,2019-05-23,FALSE,-73.91471853099995,40.813292931000035
197654796,2019-05-24,FALSE,-73.91795987299997,40.83202339900003
197654797,2019-05-24,FALSE,-73.84625011499996,40.870480308000026
197692916,2019-05-27,TRUE,-73.89463285199997,40.83518183800004
197692916,2019-05-27,TRUE,-73.89463285199997,40.83518183800004
197706724,2019-05-28,FALSE,-73.91891149799994,40.80653857400006
197850804,2019-05-30,FALSE,-73.91216947399994,40.84796474600006
197953466,2019-06-01,FALSE,-73.90439622399998,40.835768665000046
197953467,2019-06-01,FALSE,-73.88787652999997,40.814349959000026
197953467,2019-06-01,FALSE,-73.88787652999997,40.814349959000026
